px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.2433	23.9734	2.90088	0.149581	-0.0759542	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.87426
66.1491	23.9226	2.69346	0.102833	-0.136042	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.21831
68.3647	24.3521	2.39352	0.137368	-0.0332939	68.2621	24.3582	68.4273	24.4824	2.30293	0.385623	2.29718
68.433	24.3811	2.48064	0.158518	-0.0114763	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.4571
70.8159	24.8755	2.5102	0.220386	0.0379562	70.8275	24.8844	70.7385	24.8137	2.22347	0.265395	0.0715093
70.7742	24.8589	2.41505	0.205802	0.0196981	70.7403	24.6728	70.7385	24.8137	2.22347	0.265395	0.628424
72.9559	24.757	2.23242	-0.0900837	-0.188254	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	1.67138
72.9889	24.773	2.27248	-0.0797122	-0.176696	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.400446
75.0427	25.2092	2.09204	0.204198	0.119801	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	2.18332
75.0269	25.2035	2.07383	0.198526	0.114973	74.9748	25.1378	75.1062	25.1224	2.04114	0.0423626	0.0756897
77.1231	24.9763	2.07378	-0.1537	-0.185561	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566979	1.59317
77.1276	24.9613	2.02746	-0.190977	-0.234344	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566979	0.502434
79.0999	24.9932	1.98127	-0.00884239	0.0331672	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.35637
79.0974	24.9941	1.95074	-0.0164853	0.0218213	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.152807
80.8453	24.8773	1.85108	-0.0628087	-0.0221996	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.312716
80.8669	24.8785	1.80953	-0.0847291	-0.0574494	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.25451
82.6146	24.6417	1.83187	-0.162345	-0.0693364	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0134049
82.5909	24.6277	1.77619	-0.194453	-0.106513	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.27263
84.1939	24.5243	1.67749	-0.0874127	0.0225806	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.464832
84.1957	24.5245	1.66846	-0.0907907	0.0173925	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.036354
85.6726	23.85	1.61996	-0.479638	-0.233495	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.3037
85.7194	23.8711	1.66918	-0.446726	-0.202247	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.701357
86.9933	23.472	1.42705	-0.398331	-0.0622543	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.51517
87.0848	23.5038	1.46525	-0.350333	-0.0352242	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.50559
88.7258	22.8161	1.77487	-0.404018	-0.0386386	88.8227	22.7869	88.4904	22.9745	1.23247	-0.450514	2.1213
88.6663	22.7899	1.70718	-0.474418	-0.106212	88.4191	22.9498	88.4904	22.9745	1.23247	-0.450514	0.881878
89.6291	22.2504	1.26933	-0.573321	-0.127448	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	4.29904
89.6574	22.2598	1.27756	-0.563209	-0.125994	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.409091
90.5439	21.6465	1.15695	-0.662605	-0.114723	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.304225
90.6312	21.6779	1.23263	-0.551596	-0.0179249	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.84559
91.7003	21.1097	1.25893	-0.47449	0.0386503	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488963	0.094704
91.7571	21.1257	1.26801	-0.45309	0.0373245	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488963	1.88767
92.8661	20.918	1.17239	-0.152355	0.18731	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.547504
92.9184	20.94	1.14742	-0.133705	0.182586	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.55377
93.5927	20.2888	0.854196	-0.579099	-0.16937	93.4668	20.2155	93.9011	20.513	0.92369	-0.495918	5.15281
93.6385	20.3145	0.930645	-0.515701	-0.109874	93.7423	20.5071	93.9011	20.513	0.92369	-0.495918	0.738633
95.1152	19.7011	1.52579	-0.321079	0.0977436	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	9.10918
94.9738	19.6549	1.35457	-0.536496	-0.0734349	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	4.53928
95.6539	19.597	0.793308	-0.328439	0.0548646	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	6.89122
95.6569	19.5933	0.821785	-0.321494	0.0654058	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.121207
96.2941	19.1917	0.786195	-0.494452	-0.0686707	96.264	19.1597	96.5842	19.0066	0.865773	-0.50059	0.468782
96.3367	19.2038	0.840117	-0.442324	-0.0274715	96.559	18.8688	96.5842	19.0066	0.865773	-0.50059	0.499783
97.4174	18.7522	1.16721	-0.370447	0.0364676	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.60925
97.4078	18.7454	1.1417	-0.402187	0.00906463	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.123191
98.2497	18.3634	1.02536	-0.405702	-0.00134613	98.2105	18.3739	98.3198	18.0049	0.882804	-0.506023	0.323579
98.26	18.3642	1.01209	-0.414258	-0.0158437	98.4162	18.1556	98.3198	18.0049	0.882804	-0.506023	0.234988
99.0425	17.4281	1.1317	-0.99025	-0.322098	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	1.94142
99.065	17.4791	1.17015	-0.809768	-0.14623	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.6943
99.9695	16.9429	1.08466	-0.583986	0.0612714	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.0391
100.046	16.96	1.11298	-0.51828	0.0988434	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.99954
101.157	16.5351	1.21744	-0.272015	0.182358	101.204	16.5368	101.066	16.497	0.991362	-0.513687	0.472606
101.137	16.5326	1.16186	-0.306973	0.1457	101.169	16.4353	101.066	16.497	0.991362	-0.513687	0.282744
102.345	16.3893	1.25657	-0.00590999	0.231966	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.41142
102.27	16.3777	1.14706	-0.0473657	0.1996	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.49016
103.095	15.4601	0.92143	-0.809144	-0.324787	103.003	15.353	103.119	15.4967	1.11708	-0.508169	6.4879
103.062	15.5108	0.974619	-0.659927	-0.171449	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	3.47719
104.045	15.2209	1.01275	-0.300689	0.131197	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	2.0374
104.043	15.2112	1.08251	-0.27927	0.157139	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	1.10244
105.415	14.5039	1.51014	-0.524014	-0.064489	105.541	14.4413	105.447	14.5293	1.28111	-0.481861	4.405
105.391	14.5004	1.49462	-0.52923	-0.0635885	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.28278
106.795	14.0309	1.52429	-0.294663	0.109039	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.635652
106.748	14.0208	1.50817	-0.315727	0.100065	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.02191
108.094	13.6571	1.47539	-0.204781	0.10634	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0247972
108.111	13.6607	1.51384	-0.187862	0.124699	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.109791
109.535	13.564	1.50389	0.0102299	0.167788	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0326451
109.504	13.5583	1.48021	0.00213842	0.162989	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.370928
